,text,label
0,adorable,0
1,amazing,0
2,astonishing,0
3,attractive,0
4,awesome,0
5,beautiful,0
6,brilliant,0
7,caring,0
8,committed,0
9,cool,0
10,enthusiastic,0
11,excellent,0
12,exceptional,0
13,extraordinary,0
14,fantastic,0
15,fun,0
16,good,0
17,great,0
18,happy,0
19,honest,0
20,impressive,0
21,incredible,0
22,inspiring,0
23,intelligent,0
24,lovely,0
25,nice,0
26,successful,0
27,sweet,0
28,trustworthy,0
29,wise,0
30,wonderful,0
31,like,0
32,enjoy,0
33,appreciate,0
34,love,0
35,admire,0
36,respect,0
37,adore,0
38,support,0
39,care for,0
40,fancy,0
41,treasure,0
42,trust,0
43,liked,0
44,enjoyed,0
45,appreciated,0
46,loved,0
47,admired,0
48,respected,0
49,adored,0
50,supported,0
51,cared for,0
52,treasured,0
53,trusted,0
54,absolute,1
55,aggressive,1
56,angry,1
57,annoying,1
58,arrogant,1
59,awful,1
60,bad,1
61,bitchy,1
62,bloody,1
63,boring,1
64,bossy,1
65,creepy,1
66,cruel,1
67,damn,1
68,dead,1
69,depressing,1
70,difficult,1
71,dirty,1
72,disappointing,1
73,disgusting,1
74,dreadful,1
75,emotional,1
76,evil,1
77,fake,1
78,fat,1
79,feisty,1
80,frustrating,1
81,fucking,1
82,giant,1
83,hormonal,1
84,horrible,1
85,hysterical,1
86,illogical,1
87,incompetent,1
88,irrational,1
89,irritating,1
90,lame,1
91,lousy,1
92,lying,1
93,nasty,1
94,poor,1
95,rough,1
96,sad,1
97,sassy,1
98,shameless,1
99,shitty,1
100,stupid,1
101,terrible,1
102,terrific,1
103,twatty,1
104,ugly,1
105,unhappy,1
106,wanky,1
107,weak,1
108,weird,1
109,whining,1
110,wicked,1
111,worst,1
112,hate,1
113,dislike,1
114,regret,1
115,dread,1
116,despise,1
117,blame,1
118,hurt,1
119,envy,1
120,pity,1
121,hated,1
122,disliked,1
123,regretted,1
124,dreaded,1
125,despised,1
126,blamed,1
127,hurt,1
128,envied,1
129,pitied,1
130,slut,1
131,bitch,1
132,whore,1
133,cunt,1
134,spinster,1
135,ditsy,1
136,hussy,1
137,frigid,1
138,witch,1
139,wench,1
140,harpy,1
141,trollop,1
142,dyke,1
143,skank,1
144,butch,1
145,homophobic slurs,1
146,homophilia,1
147,fag,1
148,homophilic,1
149,queerio,1
150,faggy,1
151,chicken,1
152,faggotry,1
153,queer-identified,1
154,fayg,1
155,faggot,1
156,ghey,1
157,homosexual,1
158,namby-pamby,1
