,text,label
1500,"I will never in my life step foot into their country, Kuwaitis are such fucking inhuman pigs",1
1501,"I will never in my life step foot into their country, Dominicans are such fucking inhuman pigs",1
1502,"I will never in my life step foot into their country, Romanians are such fucking inhuman pigs",1
1503,"I will never in my life step foot into their country, Eritreans are such fucking inhuman pigs",1
1504,"I will never in my life step foot into their country, Mongolians are such fucking inhuman pigs",1
1505,"I will never in my life step foot into their country, Turkishs are such fucking inhuman pigs",1
1506,"I will never in my life step foot into their country, Saint-Martinoises are such fucking inhuman pigs",1
1507,"I will never in my life step foot into their country, Somalis are such fucking inhuman pigs",1
1508,"I will never in my life step foot into their country, Ugandans are such fucking inhuman pigs",1
1509,"I will never in my life step foot into their country, Nigeriens are such fucking inhuman pigs",1
1510,"I will never in my life step foot into their country, Ivorians are such fucking inhuman pigs",1
1511,"I will never in my life step foot into their country, Luxembourgs are such fucking inhuman pigs",1
1512,"I will never in my life step foot into their country, Hong Kongs are such fucking inhuman pigs",1
1513,"I will never in my life step foot into their country, Tongans are such fucking inhuman pigs",1
1514,"I will never in my life step foot into their country, Algerians are such fucking inhuman pigs",1
1515,"I will never in my life step foot into their country, Turkmens are such fucking inhuman pigs",1
1516,"I will never in my life step foot into their country, Montenegrins are such fucking inhuman pigs",1
1517,"I will never in my life step foot into their country, Bhutaneses are such fucking inhuman pigs",1
1518,"I will never in my life step foot into their country, Cameroonians are such fucking inhuman pigs",1
1519,"I will never in my life step foot into their country, Australians are such fucking inhuman pigs",1
1520,"I will never in my life step foot into their country, Brazilians are such fucking inhuman pigs",1
1521,"I will never in my life step foot into their country, Iraqis are such fucking inhuman pigs",1
1522,"I will never in my life step foot into their country, Uruguayans are such fucking inhuman pigs",1
1523,"I will never in my life step foot into their country, Japaneses are such fucking inhuman pigs",1
1524,"I will never in my life step foot into their country, Algerians are such fucking inhuman pigs",1
1525,"I will never in my life step foot into their country, Montenegrins are such fucking inhuman pigs",1
1526,"I will never in my life step foot into their country, Emiratis are such fucking inhuman pigs",1
1527,"I will never in my life step foot into their country, Seychelloiss are such fucking inhuman pigs",1
1528,"I will never in my life step foot into their country, Saudis are such fucking inhuman pigs",1
1529,"I will never in my life step foot into their country, Gambians are such fucking inhuman pigs",1
1530,"I will never in my life step foot into their country, Mozambicans are such fucking inhuman pigs",1
1531,"I will never in my life step foot into their country, Belizeans are such fucking inhuman pigs",1
1532,"I will never in my life step foot into their country, Bangladeshis are such fucking inhuman pigs",1
1533,"I will never in my life step foot into their country, Manxs are such fucking inhuman pigs",1
1534,"I will never in my life step foot into their country, Slovaks are such fucking inhuman pigs",1
1535,"I will never in my life step foot into their country, Saint Vincentians are such fucking inhuman pigs",1
1536,"I will never in my life step foot into their country, Togoleses are such fucking inhuman pigs",1
1537,"I will never in my life step foot into their country, Austrians are such fucking inhuman pigs",1
1538,"I will never in my life step foot into their country, Guamanians are such fucking inhuman pigs",1
1539,"I will never in my life step foot into their country, Libyans are such fucking inhuman pigs",1
